account_id,account_number,customer_id,branch_id,account_type,currency,balance,status,opened_at
1,4065041081,8116,68,Business,EUR,262386.42,Inactive,2018-10-16 16:57:34
2,7305953323,1298,62,Checking,USD,492094.7,Closed,2024-07-01 00:20:08
3,9172908825,4074,67,Checking,VND,284310.99,Closed,2021-07-25 11:09:24
4,9783615735,1764,66,Checking,VND,47332.73,Closed,2023-10-19 13:26:09
5,8786023064,5824,33,Business,USD,384346.52,Active,2016-10-30 15:25:07
6,8136424561,2942,24,Checking,USD,41736.95,Closed,2017-06-27 22:18:49
7,6573353634,9621,93,Checking,EUR,225028.96,Inactive,2025-04-19 11:07:25
8,4478949331,3459,24,Saving,EUR,491094.88,Inactive,2026-04-12 09:25:35
9,5751654002,8756,3,Saving,VND,58427.46,Active,2017-08-27 22:36:34
10,8111611033,7540,89,Checking,EUR,482905.32,Closed,2017-09-13 13:38:17
11,8412733036,4962,80,Business,VND,345362.08,Closed,2016-12-29 16:39:55
12,8194509551,4959,12,Saving,USD,7036.57,Active,2025-05-18 17:03:53
13,4504556843,3084,4,Saving,VND,324346.75,Closed,2022-01-10 05:54:33
14,6333405410,8825,25,Saving,VND,384883.6,Active,2023-10-03 15:55:57
15,7330734943,358,15,Saving,USD,369416.71,Inactive,2017-04-17 14:20:38
16,9434743977,7725,3,Checking,EUR,121390.56,Inactive,2023-01-28 22:17:53
17,8876276535,835,43,Saving,USD,315241.9,Closed,2023-08-22 05:10:23
18,9585752886,607,63,Checking,VND,256726.53,Closed,2016-07-10 00:49:50
19,3095520970,995,68,Saving,VND,288244.04,Closed,2026-02-01 02:51:29
20,5567743118,6835,61,Saving,VND,311386.08,Closed,2021-05-02 05:35:26
21,6784307829,7148,3,Saving,VND,363131.95,Inactive,2022-06-01 06:39:50
22,6771780593,3803,65,Saving,EUR,454544.17,Inactive,2018-12-17 10:10:04
23,3012051673,4807,93,Business,VND,479905.7,Closed,2017-05-04 20:50:16
24,6184921425,1413,86,Checking,USD,86728.22,Active,2019-12-01 07:36:18
25,7896639483,1654,54,Checking,VND,117435.98,Closed,2021-08-12 07:17:23
26,5372837607,4274,46,Business,USD,87439.93,Closed,2022-01-05 21:37:12
27,5568408912,7056,15,Business,USD,60431.95,Active,2022-02-28 22:49:51
28,7383890366,5576,46,Saving,EUR,133818.87,Active,2016-12-17 07:05:40
29,9359156230,7490,97,Saving,USD,390848.03,Closed,2026-06-17 08:31:04
30,5068981129,9216,6,Business,USD,83606.44,Active,2024-06-02 21:19:02
31,4740355928,5926,21,Business,VND,354110.86,Closed,2025-06-09 17:21:40
32,4738737735,2528,83,Checking,VND,409598.48,Active,2021-06-25 08:42:35
33,4644688162,7195,54,Saving,USD,417423.2,Inactive,2023-10-23 04:24:42
34,6760925844,8275,22,Saving,VND,186280.94,Inactive,2024-06-11 07:10:01
