card_id,account_id,card_number,card_type,credit_limit,expiry_date,status
1,9747,6582570288274066,Credit,10000.0,2028-01-26,Active
2,5790,4120861373720,Credit,5000.0,2029-08-11,Blocked
3,6253,30188655384490,Credit,10000.0,2029-06-27,Blocked
4,10904,5327887934336798,Debit,,2028-04-01,Expired
5,1021,6581620802520881,Debit,5000.0,2028-02-12,Blocked
6,8267,213124569547236,Credit,20000.0,2031-02-28,Blocked
7,8256,30538038771963,Credit,5000.0,2030-09-18,Active
8,9608,30280102405059,Credit,,2029-10-03,Blocked
9,12972,639069833346,Credit,10000.0,2029-03-08,Expired
10,14261,4472654186774183,Debit,,2027-03-13,Expired
11,3718,30253755653796,Debit,10000.0,2029-11-23,Active
12,5683,2459606261133025,Credit,5000.0,2031-03-18,Expired
13,12380,6011822327492329,Debit,,2028-12-28,Active
14,608,374469515548969,Credit,10000.0,2030-05-07,Expired
15,6710,341933468443387,Credit,20000.0,2026-11-25,Blocked
16,3039,503824877644,Debit,5000.0,2029-11-08,Active
17,2256,4976613348355829,Debit,5000.0,2028-03-15,Blocked
18,10116,3553224793956120,Credit,10000.0,2029-11-04,Blocked
19,10042,344461500351746,Credit,10000.0,2030-09-06,Blocked
20,849,6585268326396051,Credit,,2028-07-05,Blocked
21,14572,4066423529079,Credit,10000.0,2026-11-29,Blocked
22,10730,3583633726187286,Credit,10000.0,2028-11-27,Blocked
23,13541,377723504779564,Credit,20000.0,2030-07-14,Expired
24,9059,586998216251,Debit,10000.0,2027-06-14,Expired
25,6164,3515854917501258,Debit,5000.0,2030-04-08,Blocked
26,2143,30495597528211,Credit,,2029-11-16,Blocked
27,14061,4213437085840063,Debit,10000.0,2028-08-16,Expired
28,8868,30230664994909,Debit,10000.0,2030-09-05,Expired
29,8771,4646962596857956,Credit,,2029-09-23,Active
30,3923,676152314214,Debit,5000.0,2026-09-20,Blocked
31,6108,213195341575703,Credit,20000.0,2029-06-28,Active
32,2090,2226676016799448,Debit,,2026-10-30,Blocked
33,9249,3591334664524040,Credit,5000.0,2030-09-25,Blocked
34,9287,30536760187200,Debit,,2030-11-27,Expired
35,4301,4396188858343186,Credit,20000.0,2031-01-01,Expired
36,7937,30307776317342,Debit,5000.0,2029-06-29,Active
37,5311,2417505778473505,Credit,,2028-08-19,Active
38,10596,2281412020002591,Credit,10000.0,2031-04-13,Blocked
39,7938,348815383064831,Credit,10000.0,2029-08-30,Blocked
40,13821,4178212795018737,Credit,,2030-10-01,Blocked
41,10096,4057401230063848,Debit,,2028-05-26,Active
42,1306,3555744823080904,Debit,20000.0,2027-12-06,Expired
43,13929,4744232689922062,Debit,20000.0,2028-11-15,Expired
44,1250,4024549215987066,Credit,5000.0,2028-01-16,Blocked
45,1481,38292482397600,Debit,,2027-07-19,Blocked
46,8539,213113124107057,Debit,10000.0,2028-04-07,Active
47,9990,180040859281378,Debit,20000.0,2030-08-29,Blocked
48,7589,180098109610374,Credit,20000.0,2029-05-14,Expired
49,2722,4926103718387074482,Debit,10000.0,2030-10-16,Active
50,14219,502032872520,Credit,,2028-11-11,Expired
51,13486,213148186348165,Debit,20000.0,2027-01-05,Blocked
52,3226,3590366641672956,Credit,20000.0,2031-05-13,Active
53,5211,6011322249124878,Debit,,2028-12-11,Blocked
54,5866,4266359333749084,Credit,5000.0,2029-10-30,Active
55,6443,3506090196132751,Debit,5000.0,2028-01-30,Blocked
56,3893,4779027583865153,Credit,20000.0,2026-12-27,Expired
57,13048,6011437060834148,Credit,5000.0,2026-12-02,Active
58,10656,3564768811647217,Debit,10000.0,2031-03-18,Blocked
59,13902,2720399754861293,Debit,,2026-07-26,Expired
60,2227,4585601687359976,Credit,5000.0,2030-05-25,Active
61,10552,4303763519671974756,Debit,10000.0,2026-12-29,Blocked
62,12823,6512588993654872,Credit,10000.0,2030-07-28,Active
63,11599,502004074287,Credit,10000.0,2031-01-25,Blocked
64,14212,4660019956994936,Debit,10000.0,2027-06-24,Active
65,12925,2283479498933381,Credit,,2029-06-19,Expired
66,774,4804900322133,Credit,,2026-07-03,Blocked
67,7597,6585332599492250,Credit,,2027-10-13,Active
68,14318,3536108304567637,Debit,20000.0,2026-11-29,Blocked
69,4891,4903531926922,Credit,,2027-07-16,Blocked
70,3144,4664153698581002,Debit,20000.0,2027-06-25,Expired
71,3677,370048465895879,Debit,5000.0,2029-12-17,Active
72,2403,502006585637,Debit,20000.0,2029-01-01,Active
73,10956,341959856734293,Debit,10000.0,2029-05-30,Blocked
74,13136,213195045870632,Credit,10000.0,2027-04-01,Expired
75,7937,4181211987058738,Credit,5000.0,2030-06-05,Active
76,11767,3539012060579355,Debit,5000.0,2029-10-01,Active
77,2422,4806584911588169,Credit,20000.0,2028-09-24,Active
78,13729,676288688515,Debit,10000.0,2026-12-21,Active
79,13012,6567534618981567,Debit,20000.0,2029-11-27,Expired
80,5364,30455238226377,Credit,,2031-03-13,Expired
81,3487,30496604536940,Debit,,2030-09-13,Expired
82,4056,213173572261517,Credit,5000.0,2030-12-22,Expired
83,6513,3512303513130560,Debit,10000.0,2031-04-11,Expired
84,13679,3503882938932974,Credit,10000.0,2029-07-22,Blocked
85,10605,6535905189311716,Credit,,2030-10-27,Expired
86,2897,36799399578454,Debit,5000.0,2026-10-31,Active
87,3325,4808646870990,Debit,5000.0,2027-01-29,Expired
88,1722,501832149469,Credit,20000.0,2031-02-22,Active
89,6569,4862664461362310666,Credit,5000.0,2029-02-07,Active
