customer_id,full_name,dob,phone,email,kyc_status,created_at
1,Joseph Davis,1978-02-03,+1-220-728-0613,robin19@example.net,Rejected,2025-08-06 18:22:56
2,Timothy Robbins,1960-08-05,+1-691-727-6389x89689,juliacurtis@example.org,Verified,2025-07-25 00:57:43
3,Timothy Dillon,2001-05-18,001-432-848-3565,ywatson@example.com,Verified,2021-10-17 22:05:24
4,Phillip Pierce,1985-02-02,685-804-8749x82853,nicole43@example.com,Rejected,2026-01-23 16:43:22
5,Randy Webster,2007-06-19,6083155468,smithryan@example.net,Pending,2025-12-19 01:32:31
6,Frank Sims,1989-08-29,831.925.3676x7416,jeromeanderson@example.com,Verified,2023-09-07 17:46:17
7,Amanda Ross,1966-08-26,+1-698-205-7202x381,teresabailey@example.com,Verified,2025-05-12 00:21:55
8,Timothy Knox,1988-06-05,256.441.1873x6655,jmcknight@example.net,Verified,2026-04-07 22:41:17
9,Kyle Parker,1980-02-11,(471)971-4667x746,john65@example.com,Rejected,2021-07-26 02:12:08
10,Keith Lewis,1983-05-29,001-231-655-8632x0230,luis43@example.com,Verified,2026-04-22 06:50:19
11,Cindy Hunt,2003-07-17,001-931-491-6364x406,ucarpenter@example.com,Rejected,2022-02-11 04:12:29
12,Brooke Kennedy,1970-06-16,7127645464,kellermichael@example.net,Rejected,2022-03-05 14:50:25
13,Kathy Jones,1958-07-25,507-248-7229x85593,denisesullivan@example.org,Rejected,2022-02-06 08:51:40
14,Mr. Tyler Moyer,1980-12-31,832-200-7536x3093,guzmanryan@example.org,Verified,2024-04-05 14:02:14
15,Alexandra Smith,1958-06-12,(701)562-3833x386,wendyvance@example.com,Rejected,2025-01-22 18:14:27
16,Zachary Carpenter,1976-06-27,(822)986-7580x63591,dylan11@example.net,Pending,2025-09-28 15:01:13
17,Lindsay Miller,1988-07-03,001-569-716-5068x023,michaelrodriguez@example.org,Verified,2022-04-22 05:55:27
18,Melanie Spencer,2006-01-11,457-701-9869,huffkeith@example.com,Verified,2025-02-05 02:51:03
19,Dr. Thomas Wilson,1970-05-21,586.888.3208x011,martin01@example.org,Verified,2023-05-11 22:18:02
20,Daisy Hull,1980-04-08,5028222073,phenson@example.net,Verified,2025-02-20 08:36:27
21,Anthony Martin,1985-03-07,+1-437-477-7046,michellediaz@example.com,Verified,2024-10-05 20:03:57
22,Erica Bell,1975-08-06,5382369782,mclaughlindavid@example.org,Rejected,2022-12-07 09:09:03
23,Mark Shields,1971-06-07,573.344.2221x864,andreapatton@example.org,Rejected,2026-05-20 19:28:41
24,Juan Sutton,1979-01-14,001-846-298-4283x45277,williamsjohn@example.org,Verified,2024-12-26 22:49:44
25,Steven Maldonado,1988-02-07,001-370-943-9146x9475,collinsrebecca@example.net,Rejected,2023-07-16 14:29:26
26,Michelle Figueroa,1968-09-13,+1-984-805-3613x9475,michaelgoodman@example.com,Verified,2021-12-04 09:26:22
27,Rebekah Wilkerson,1958-09-21,603.287.7391,jflores@example.com,Rejected,2025-06-01 20:25:55
28,Kenneth Jones,1965-09-06,880.405.5265x1149,forddawn@example.com,Rejected,2026-06-09 19:36:12
29,Michelle Green,2006-01-14,348.966.2203x535,pmoreno@example.com,Rejected,2024-11-18 15:04:56
30,Robin Hanson,1983-10-19,684.282.6867x5248,jenniferdurham@example.com,Rejected,2021-08-14 21:07:37
31,Mrs. Patricia Garcia,1972-10-23,4319115662,creese@example.org,Pending,2022-02-08 08:37:10
32,Andrew Thompson,2002-08-11,787.785.1877x0991,mary40@example.net,Verified,2024-12-31 10:38:37
33,Amy Stevens,2001-09-16,+1-890-252-1289x34256,kevin11@example.net,Pending,2023-04-04 09:34:04
34,Andrew Fuentes,1997-12-11,492.378.3061x39773,maria62@example.com,Rejected,2025-06-08 02:00:48
35,Cassandra Rodriguez,1976-12-09,2225624200,reedjudith@example.org,Pending,2023-05-30 23:37:29
36,David Kane,1994-06-08,+1-434-736-0255x503,lmiller@example.com,Verified,2022-03-09 15:16:08
37,Kimberly Baker,1973-05-21,001-219-234-2183,carlandersen@example.net,Verified,2023-11-06 18:15:36
38,Joseph Myers,1980-01-07,001-963-537-5374,ocurry@example.net,Rejected,2023-12-23 01:20:21
39,Isaiah Lee,1967-05-01,276-996-6428,psmith@example.org,Pending,2024-03-25 05:19:03
40,Ronnie Miller,2003-12-10,001-590-485-5766x52232,lisa82@example.org,Pending,2025-08-27 09:13:18
41,Brandi Olsen,1993-01-03,748-255-6936x7561,melissa04@example.net,Pending,2022-10-04 20:04:23
42,Joel Peck,1958-10-25,(755)905-8027x9827,kellyreyes@example.com,Verified,2022-01-17 08:49:33
43,Amy Reynolds,1960-03-09,722.728.4008,cathygriffin@example.org,Verified,2025-07-22 22:28:19
44,Patricia Henderson,1976-02-14,7906447834,hensleyrachel@example.net,Pending,2025-05-08 19:58:48
45,Barbara Allen,1962-08-14,001-839-418-0676,oscar48@example.net,Verified,2021-10-18 20:59:48
46,Lisa Mclean,1985-05-25,(597)959-1551,samanthagray@example.com,Verified,2022-02-03 04:14:49
