card_id,account_id,card_number,card_type,credit_limit,expiry_date,status
1,9747,371935032873778,Credit,10000.0,2028-07-12,Active
2,5790,4601664473121638,Credit,5000.0,2026-09-22,Blocked
3,6253,2221092379801117,Credit,10000.0,2031-04-11,Blocked
4,10904,4564561908786194189,Debit,,2028-02-03,Expired
5,1021,4550987194533786,Debit,5000.0,2027-05-31,Blocked
6,8267,676158831583,Credit,20000.0,2030-01-19,Blocked
7,8256,4062188567865840571,Credit,5000.0,2029-12-27,Active
8,9608,3548751536741847,Credit,,2030-02-17,Blocked
9,12972,6011151695687181,Credit,10000.0,2028-08-12,Expired
10,14261,3502793268115661,Debit,,2028-02-26,Expired
11,3718,4231887576956673390,Debit,10000.0,2029-11-28,Active
12,5683,30005167124927,Credit,5000.0,2027-06-22,Expired
13,12380,3586966441093455,Debit,,2031-05-28,Active
14,608,4962909396049318638,Credit,10000.0,2026-08-22,Expired
15,6710,4794105164723883,Credit,20000.0,2028-12-28,Blocked
16,3039,639060184764,Debit,5000.0,2027-01-08,Active
17,2256,3557288422383143,Debit,5000.0,2029-10-26,Blocked
18,10116,3523240453308797,Credit,10000.0,2028-03-02,Blocked
19,10042,4921604637553883861,Credit,10000.0,2031-04-15,Blocked
20,849,3570426858389027,Credit,,2028-09-30,Blocked
21,14572,4214466983422830,Credit,10000.0,2029-01-10,Blocked
22,10730,4702235739965601,Credit,10000.0,2030-01-15,Blocked
23,13541,4849690826505723295,Credit,20000.0,2027-11-02,Expired
24,9059,5272061484394491,Debit,10000.0,2029-01-16,Expired
25,6164,349907341745269,Debit,5000.0,2028-04-26,Blocked
26,2143,4162556967383866805,Credit,,2027-01-13,Blocked
27,14061,4014937770060,Debit,10000.0,2030-04-13,Expired
28,8868,30231648443898,Debit,10000.0,2030-05-12,Expired
29,8771,30118370664710,Credit,,2029-06-05,Active
30,3923,4183891579670848,Debit,5000.0,2030-11-30,Blocked
31,6108,180003423207212,Credit,20000.0,2028-05-12,Active
32,2090,213129409406261,Debit,,2028-09-01,Blocked
33,9249,4727566685248,Credit,5000.0,2029-12-29,Blocked
