customer_id,full_name,dob,phone,email,kyc_status,created_at
1,Christopher Palmer,2005-10-16,960.811.3037,jenniferwright@example.org,Rejected,2020-04-25 11:46:13
2,Kelly Smith,2004-10-21,(345)824-1892,tammy85@example.net,Verified,2025-02-06 00:30:38
3,Justin Lopez,2003-09-21,001-662-941-7019x54054,emarshall@example.net,Verified,2025-11-30 04:51:45
4,Sarah Heath,1980-06-09,(626)419-4170,bryantamy@example.com,Rejected,2026-01-03 13:42:34
5,Ray Taylor,1991-07-30,+1-898-324-6388x750,normanamber@example.net,Pending,2024-01-03 05:11:49
6,James Frye,2001-03-07,725.636.5124x615,rosselizabeth@example.org,Verified,2021-09-05 18:51:29
7,Ian Marshall,1968-09-23,+1-675-958-7652x5861,devongonzalez@example.net,Verified,2023-01-22 09:57:15
8,Bobby Huffman,1978-12-29,+1-704-600-0900x2173,brewerjillian@example.com,Verified,2022-04-05 21:28:47
9,Elizabeth Adams,2006-04-11,271.671.7836x188,oswanson@example.org,Rejected,2021-06-30 12:49:02
10,Carol Lucas,1961-01-03,671.842.2063x52803,jeffrey70@example.org,Verified,2022-11-16 08:04:10
11,Brittany Duffy,1969-01-09,(977)491-3438,cohentroy@example.net,Rejected,2026-06-15 18:47:43
12,Joseph Colon,1978-01-06,001-356-704-9483x8202,jeffrey09@example.org,Rejected,2024-03-27 13:11:04
13,Melinda Guzman,1983-08-19,+1-205-568-8344x9253,morrisnicole@example.net,Rejected,2020-08-24 03:20:52
14,Veronica Mcbride,1957-12-21,793-895-2572x5493,stephaniestevens@example.net,Verified,2020-07-10 10:38:52
15,Marcus Jensen,1978-07-17,934-539-7556,cooperjulia@example.com,Rejected,2025-01-06 12:01:34
16,Holly Olson,2005-06-25,288-779-5342x827,warnerjustin@example.net,Pending,2024-10-15 09:11:33
17,Jonathan Peterson,1965-08-09,713-443-6094x761,kylegallegos@example.com,Verified,2024-12-25 08:04:05
18,Mr. Logan Taylor,2005-01-26,(968)874-8341,perkinscarlos@example.com,Verified,2021-03-04 16:14:35
19,Victor Riggs,1961-05-09,398.574.8947x75539,garnerjoshua@example.net,Verified,2021-09-20 14:31:16
20,Alan Bernard,1966-10-08,(874)506-8204x90551,wcarter@example.com,Verified,2020-05-17 09:43:47
21,Krista Lindsey,1983-05-03,(629)690-2756x273,hcarr@example.org,Verified,2024-01-19 15:15:36
22,Daniel Bray,1962-07-13,+1-968-350-3739,caitlindiaz@example.com,Rejected,2023-03-03 00:26:19
23,Curtis Williams,2003-09-22,+1-972-216-9299x304,jesselewis@example.com,Rejected,2021-11-26 01:03:59
24,Bailey Johnson,1968-05-08,+1-933-790-7540x30580,pamelaramirez@example.org,Verified,2023-07-01 21:33:01
25,Samantha Anderson,1980-09-14,988-862-6219,xashley@example.org,Rejected,2024-12-19 08:29:54
26,Jamie Walls,1996-12-10,(384)392-1561,jorge67@example.org,Verified,2020-04-21 19:58:10
27,Angela Wood,1984-05-08,+1-270-755-7578x5538,edwardsjoan@example.net,Rejected,2022-12-03 14:55:13
28,Heather Gilbert,1983-09-18,(985)939-4379x3057,henry45@example.org,Rejected,2024-12-02 05:38:28
29,William Ashley,1982-08-08,+1-773-757-7701x183,gwendolyn37@example.net,Rejected,2022-07-29 03:20:04
30,Mary Liu,1955-08-21,671-256-6447,robersonlauren@example.com,Rejected,2020-06-20 00:22:57
31,Thomas Campos,1979-03-25,(328)569-4572x31974,garyprice@example.org,Pending,2020-06-18 02:26:51
32,Mrs. Shannon Pearson,1981-06-14,887-433-3155,egrimes@example.com,Verified,2022-08-31 20:31:32
33,Lori Ashley,1995-03-03,+1-781-342-0908,amber60@example.com,Pending,2025-01-25 14:12:01
34,Johnny Castro,1977-04-07,324.796.8230x6259,marylowe@example.com,Rejected,2025-01-01 06:55:31
35,Ann Wood,1968-08-19,(744)285-1984,daniellesmith@example.com,Pending,2021-12-04 07:57:52
36,Anita Simpson,1974-10-24,574.442.9817,riosjeremy@example.net,Verified,2023-07-14 14:44:33
37,Lori Moore,1999-10-28,(277)696-5696x2950,debra80@example.net,Verified,2026-01-16 23:37:37
38,Robert Gibson,1976-09-05,362.359.0322x1474,ashley51@example.com,Rejected,2026-06-26 12:22:00
39,Tony Johnson,2000-09-24,266.978.1258x161,frederickthomas@example.net,Pending,2026-04-14 07:14:29
40,Dominic Gay,1961-09-18,3902863802,erhodes@example.com,Pending,2023-12-13 15:35:11
41,Andrew Cole,1985-05-23,(709)461-3333x486,christina93@example.com,Pending,2020-12-02 01:23:51
42,Richard Nash,1989-01-28,880-835-3505x863,dawn84@example.net,Verified,2025-02-25 09:09:36
43,Amber Leblanc,1964-01-03,001-890-389-1509x7854,megan91@example.org,Verified,2025-11-08 12:42:39
44,Mary Shaw,1995-12-15,274-255-3608x92927,brianvega@example.com,Pending,2024-11-26 12:38:28
45,Sara Bryan,1987-03-23,600.552.8332,campbellsamuel@example.net,Verified,2020-05-03 07:39:28
46,Kristi Smith,1982-11-17,726.838.9581x26443,millerjennifer@example.com,Verified,2025-05-07 12:13:05
47,Brett Nelson,1992-08-17,001-310-292-8721x2564,solisnicholas@example.net,Pending,2020-11-18 22:20:25
48,Joseph Powell,1997-02-26,+1-377-369-3650,cody21@example.com,Verified,2023-05-21 03:41:28
49,Trevor Tyler,1955-09-12,461.680.3975,rlopez@example.com,Pending,2021-09-20 15:54:29
50,Ann Garcia,1971-03-31,001-304-275-8434x26747,wdunn@example.net,Pending,2023-03-07 11:20:14
51,Sara Campbell,1993-03-02,001-759-352-5578x2548,vanessagaines@example.net,Rejected,2025-08-02 22:49:10
52,Ryan Lane,2001-10-15,001-255-303-6073x183,james79@example.net,Pending,2023-12-29 13:13:10
53,Nicole Carlson,1997-02-23,001-717-983-7003,websterjacob@example.org,Verified,2025-12-05 12:07:30
54,Courtney Johnson,1978-01-26,+1-395-753-3132x12941,clarkmadison@example.com,Rejected,2025-05-14 13:39:12
55,Kevin Roberts,1977-07-25,715-318-2950x935,martinezsophia@example.org,Pending,2025-05-10 20:27:06
56,Jose Jennings,1996-07-06,504.403.1800x7847,robert22@example.com,Rejected,2026-05-02 01:19:51
57,Lauren Adams,1978-03-17,784-990-6932x8724,cannonjames@example.com,Verified,2024-11-04 06:38:13
58,Jennifer Carter,2003-07-11,231-884-1686,michaelrodriguez@example.com,Pending,2024-07-21 12:58:49
59,Hannah Smith,1998-09-30,001-929-458-2758,john41@example.com,Verified,2021-04-21 20:17:11
60,Dennis Simmons,2002-12-17,635-262-6682,mendezgeorge@example.org,Rejected,2025-06-05 03:29:22
61,John Lopez,1991-07-31,(829)593-0176x234,thomaslopez@example.net,Pending,2024-03-19 11:07:13
62,Peter Black,1977-06-19,001-695-923-3979x574,willieguerra@example.com,Rejected,2021-05-16 06:53:46
63,Terri Coleman,2005-04-22,931.833.1344x54011,woodmarcus@example.com,Rejected,2022-04-05 09:16:30
64,Lisa King,1979-01-07,001-297-416-3705,marksjackie@example.org,Pending,2024-06-18 14:52:50
65,Sandra Santos,1991-03-30,967-470-8357,markpearson@example.org,Rejected,2024-09-26 13:40:35
66,April Lawrence,1983-04-26,299-567-9147x49841,dylanreed@example.net,Verified,2021-06-02 04:30:50
67,Joseph Martin DVM,1971-02-05,+1-445-611-3720,mwalsh@example.com,Rejected,2025-04-28 22:53:15
68,Kelsey Miller,1981-03-30,738.860.3400x1977,brucetaylor@example.net,Verified,2021-09-09 13:39:47
69,Martha Acosta,1977-05-31,+1-559-730-8464,whernandez@example.com,Verified,2020-12-06 14:16:14
70,Aaron Rice,1960-10-18,583-979-1424x3189,caseymark@example.net,Rejected,2023-04-08 01:27:00
71,Albert Perez,1969-01-11,657.532.1494,zmoore@example.org,Verified,2020-12-10 11:08:25
72,Andrea Carpenter,1994-10-19,+1-219-254-2504,whiteheadlee@example.com,Pending,2024-08-11 14:01:02
73,Elizabeth Osborn,1982-06-01,+1-232-220-6412x2168,eowens@example.net,Verified,2020-11-03 02:07:35
74,Charles Hardin,1958-10-08,240.626.0062x151,sanchezelizabeth@example.org,Verified,2023-01-24 02:42:26
75,Jacqueline Lynn,1988-12-13,748-404-9141x50710,toni33@example.net,Verified,2022-04-12 19:40:23
76,Monique Braun,1992-12-30,001-230-763-7858x307,lwagner@example.com,Pending,2023-07-10 22:13:24
77,Christine Hernandez,2000-06-12,(398)984-0860x11357,yhill@example.org,Pending,2022-07-09 23:33:50
78,Lauren Whitney,1981-05-18,(215)439-0109x2714,oprice@example.net,Pending,2021-11-26 03:54:00
79,Lauren Scott,2006-11-13,877-918-4958,njohnson@example.com,Rejected,2024-12-11 12:15:14
80,Michael Goodwin,2000-12-09,(965)679-5989,kevin11@example.com,Pending,2025-06-07 15:50:41
81,Paula Townsend,1976-07-14,001-745-432-6482x3028,jacksonnichols@example.com,Verified,2021-06-23 01:19:19
82,James Callahan,1972-01-23,+1-425-218-6088x89167,esmith@example.org,Pending,2020-08-06 11:14:37
83,Christina Sims,1988-02-15,001-890-783-7564x3233,mark83@example.net,Pending,2022-08-07 16:46:02
84,Derek Ortega,2007-03-07,292.310.5913x7920,qbauer@example.org,Verified,2023-07-06 11:42:56
85,Justin Campbell,1978-07-09,440.951.3030,rebecca52@example.org,Rejected,2025-06-10 02:25:50
86,Mark Campbell,1986-07-23,+1-545-622-2008x529,amanda60@example.com,Pending,2025-02-02 21:28:52
87,Crystal Porter,1971-03-13,9498150663,danielkathryn@example.com,Rejected,2022-11-06 02:20:59
88,Thomas Vasquez,1987-12-06,577-805-4202x633,adamhansen@example.com,Rejected,2024-01-01 16:54:44
89,Stacy Harris,1976-05-30,001-741-354-4958,hthompson@example.com,Rejected,2024-08-14 15:29:14
90,Cheryl Smith,2005-03-13,001-470-385-0427x60767,jamesjones@example.org,Verified,2025-06-30 23:41:36
91,Cynthia Nelson,1972-06-13,001-213-759-0502x7357,sfrazier@example.com,Rejected,2022-12-26 19:35:25
92,Charles Bishop,2007-12-16,001-255-715-6384x189,christina06@example.org,Rejected,2024-05-23 08:55:35
93,Brian Smith,1992-04-02,8402845575,kristenberry@example.org,Verified,2026-02-16 23:22:47
94,Ray Leblanc,1993-03-02,941.470.2610,gilljohn@example.com,Rejected,2025-05-18 11:29:49
95,Regina Carlson,1990-12-07,329-972-7404,michaellane@example.net,Rejected,2021-04-23 19:37:44
96,Amanda Williams,1971-03-06,9965070888,peterslauren@example.net,Verified,2021-07-12 23:10:10
97,Mr. Andre Marshall,1966-10-27,+1-432-751-1801x62522,gonzalezfrank@example.org,Verified,2021-11-27 02:52:43
